id,user_role,wallet_address,rating,comment,timestamp
1,"Payer 1",GB3ZUY4ZKF577RRAY4BAFWAYRPWWCJJV3MI6XKB7LPP3SOWWYPD6CTY5,5,"Settled directly to my bank within minutes via Stellar anchor flow.",2026-08-28T11:22:26.688Z
2,"Payer 2",GAJTBAZISF7EGSJQVTNBRXYAQ3UA2YCDVZ3L76AZSLF3QESGMJ3JLM4F,5,"Very smooth scanning with Lobstr. UI is intuitive and clean.",2026-08-28T12:52:26.689Z
3,"Payer 3",GDHEM3JJEAT7VUQ6FNTUF6SVF4NVONVOIBMSGLTY6QRFVHZE2RAF5R5B,5,"Instant payment confirmation at the canteen counter. Great experience!",2026-08-28T14:22:26.689Z
4,"Payer 4",GBELV3DM5KFQSH6F34H4QMY6KDZI74JUMKB3E4Q6MGSZ3Z4XZLABKDYX,5,"Finally a way to use USDC directly for daily student expenses.",2026-08-28T15:52:26.689Z
5,"Payer 5",GDXTRJ47WAFWKMSZGTACUFYN6MCA5HSAXQKAE737RISXWX5X7DG7M4CL,5,"The live payment status update took less than 3 seconds on testnet.",2026-08-28T17:22:26.690Z
6,"Payer 6",GC5IW4WB7EHEMR3JZJR4JQESXHNYOU5KYEFYYJVYBFY2TFPJ2ZCSM2GA,5,"Bank settlement to UPI was seamless and gave a clear UTR reference.",2026-08-28T18:52:26.690Z
7,"Payer 8",GDXUJHG6XDAWH74JTEZYAXJ2I7IXLSEGY34ZVYXWKUQH5XU43GL5CI2B,5,"Simple point of sale layout. No crypto jargon anywhere.",2026-08-28T21:52:26.690Z
8,"Payer 10",GABN6U4RJGOC6UK26DBLCBPCKYV4Y22S355EZ2FVXQZATLE64CTZD5SR,5,"Super fast QR payment with digital dollars! No INR exchange delay.",2026-08-29T00:52:26.690Z
9,"Payer 12",GDK4M6BBWNJNOKBFO7RETQBLUB7WHRCB5X6RK3HOATCIQPW4CGVVQ3EU,5,"Very smooth scanning with Lobstr. UI is intuitive and clean.",2026-08-29T03:52:26.691Z
10,"Payer 14",GBRB2GLH2HMYJLNSNI6LXETVO5LXD57APTD4DKX2FQU7M5MUEASOW3QH,4,"Finally a way to use USDC directly for daily student expenses.",2026-08-29T06:52:26.691Z
11,"Payer 16",GAEF47ROUBGOS47SBSHWQE4JW6BQHQ2VCGQFNTVHRCTJJW45ZP3FAN2U,5,"Bank settlement to UPI was seamless and gave a clear UTR reference.",2026-08-29T09:52:26.691Z
12,"Payer 18",GC6FDFB5L3ORKOU7KEOO5LFGPK4WHKBIUVBRP4EX5TXCQS5YEOWBAM7C,5,"Simple point of sale layout. No crypto jargon anywhere.",2026-08-29T12:52:26.691Z
13,"Payer 20",GBXEALDJXIGAT6UP5QPW5FBGQ6FINEE3OVZHRW6TRVITUMG6B7DUFTDQ,5,"Super fast QR payment with digital dollars! No INR exchange delay.",2026-08-29T15:52:26.692Z
14,"Payer 22",GAZANHXWQHIN34O7GHB6V25T243Q4X4XA575H2U4JQAJ4OKMLZKLQJ72,5,"Very smooth scanning with Lobstr. UI is intuitive and clean.",2026-08-29T18:52:26.692Z
15,"Payer 24",GDK7AZJP3K75O4HD52SSEIK6WY2PUV7FMRVCDTWM5QRFQR2WK5KLNZCI,5,"Finally a way to use USDC directly for daily student expenses.",2026-08-29T21:52:26.692Z
16,"Payer 26",GCDCHD4AMQCK7JZFVF4DNNMWFVQHEZMMWGRCYHNXDU4EOUGOVQSVHMSD,5,"Bank settlement to UPI was seamless and gave a clear UTR reference.",2026-08-30T00:52:26.692Z
17,"Payer 28",GASK3LUJGKYIWRJDYAWP4RCOD4KVXFPKOKUYNSZSI7U7J4QBRV6IWMSL,4,"Simple point of sale layout. No crypto jargon anywhere.",2026-08-30T03:52:26.692Z
18,"Payer 30",GAEWQAUU63TNRCOVQWYL5EM7INM2IN2BN7KZNEJ5HT4HV7J6ZLU2C2NZ,5,"Super fast QR payment with digital dollars! No INR exchange delay.",2026-08-30T06:52:26.693Z
19,"Payer 32",GCG5HAGXJWNPPOF7P7MOCQ3YNRYCBBTJRYIHXLZU7UYN3S6Q6VHFZ3SW,5,"Very smooth scanning with Lobstr. UI is intuitive and clean.",2026-08-30T09:52:26.693Z
20,"Payer 34",GC2J3XJG7UUC5XKYIFIE6YF5DPUVEECINHMRRM3XWQS4U7VOWELBA5OB,5,"Finally a way to use USDC directly for daily student expenses.",2026-08-30T12:52:26.693Z
21,"Payer 36",GAZP22ANMYBIJBX3OIKN45XMWWPD2KDTAEPGPW2HHGDMZBKSZ47F3LTV,5,"Bank settlement to UPI was seamless and gave a clear UTR reference.",2026-08-30T15:52:26.693Z
22,"Payer 38",GCH3IK7BW3K2Q6WGXTSS6DLYX4ZNGDHY7ZWQZBPZQUW75Z2FWNVOYYZR,5,"Simple point of sale layout. No crypto jargon anywhere.",2026-08-30T18:52:26.693Z
23,"Payer 40",GABFKKIEMZOONG7LSAOS6UFFLXEY542XNYV4GKFOKXYF34CCHHPDRU5B,5,"Super fast QR payment with digital dollars! No INR exchange delay.",2026-08-30T21:52:26.693Z
24,"Payer 42",GA6D7Y4QLXPW6MLW6YC76STBL6ET5W7YJFJFT5NGTCUAJULBRO5UAOS3,4,"Very smooth scanning with Lobstr. UI is intuitive and clean.",2026-08-31T00:52:26.694Z
25,"Payer 44",GALYGO4ITO27PA5MEDGLHE5FTAJ6JL2KN6MAWF4VC6MKRTT7VLUVRMLI,5,"Finally a way to use USDC directly for daily student expenses.",2026-08-31T03:52:26.694Z
26,"Payer 46",GAZCLR3AHBB2CFEECOFYIKCYVOEHLBMURRMH7GDLYBLFM2US2KAYRG2X,5,"Bank settlement to UPI was seamless and gave a clear UTR reference.",2026-08-31T06:52:26.694Z
27,"Payer 48",GDC5TC5MJRB6QSGOYS4XBJ3JAFL5LJ7ZS7IJ7KFHTSMAE7P2KKWEPUQE,5,"Simple point of sale layout. No crypto jargon anywhere.",2026-08-31T09:52:26.694Z
28,"Payer 50",GA2CA7CH6TFKWKEYOIIP5NFNULS44HFVXAWUAP5V4GP3ZSQDI4T4VBVY,5,"Super fast QR payment with digital dollars! No INR exchange delay.",2026-08-31T12:52:26.694Z
