Index,Role_Description,Wallet_Address,Amount_USDC,Stellar_Tx_Hash,Ledger,Explorer_Link
1,"Payer 1 (Student - Canteen Lunch)",GCJESTICORCJZKRXLGCQP64YKZVGX4TV4GTEC2MDHLPVJ26DRHOVK5OS,12.5,1daba56bd7ed132521cf0b64d45b06128baefb8ebe8ce7105694241830906b8a,4295201,https://stellar.expert/explorer/testnet/tx/1daba56bd7ed132521cf0b64d45b06128baefb8ebe8ce7105694241830906b8a
2,"Payer 2 (Freelancer - Hostel Coffee)",GAK56WNSLRMULUHGA26KGCFGWLU2F4AM5XFCBM3AT5LB3NWMQDNLQSRJ,8,39d4532c0e0c931c01b703d88765f50fb04aeddbed696214bd836ea2ca466a3b,4295204,https://stellar.expert/explorer/testnet/tx/39d4532c0e0c931c01b703d88765f50fb04aeddbed696214bd836ea2ca466a3b
3,"Payer 3 (Exchange Student - Books)",GCYSRDPQGMEQCKW4FZFIM3KATRV6C54VQXW7D2XI5DAEXGAXG3XY54RH,25,c16778f7ad6a81381bbf23462ad17a787fff9fdf21680ddb553c0f0a35172be7,4295207,https://stellar.expert/explorer/testnet/tx/c16778f7ad6a81381bbf23462ad17a787fff9fdf21680ddb553c0f0a35172be7
4,"Payer 4 (NRI Relative - Campus Stall)",GDHB2PFQV6KN7SGW7KW7TQ2QMCF5XL3B6NG3K2V247ZDTXTSUVV25B67,15,f78bec4279336dd0c645b9790a47a49051dc934898860ca7c285a4cf0238c3cd,4295210,https://stellar.expert/explorer/testnet/tx/f78bec4279336dd0c645b9790a47a49051dc934898860ca7c285a4cf0238c3cd
5,"Payer 5 (Student - Lab Stationery)",GBWLURWDFNXEUNMR7LJ5SFG5A273M5WZ2V7JATUDKSCDSITQCD6UEA4K,10,a2038abd29db16e7cea8bfc28707c8ab86815e0ed83516503fc2619bf0e64fec,4295215,https://stellar.expert/explorer/testnet/tx/a2038abd29db16e7cea8bfc28707c8ab86815e0ed83516503fc2619bf0e64fec
6,"Payer 6 (Freelancer - Co-working Pass)",GCMWNWGK43OXGEDP7MVRRSTDTJPZW3LIU3DPE7EIOB7FGPCDP5TP66LH,5.5,cd866030b3fd5db0f5aaa9c4024109b293172826839e3324255f0b35b0d5047a,4295218,https://stellar.expert/explorer/testnet/tx/cd866030b3fd5db0f5aaa9c4024109b293172826839e3324255f0b35b0d5047a
7,"Payer 7 (Exchange Student - Dinner)",GDZOZYGUCXYJDPGURTAK3IRBB3PMTSKD4EUUY3KA76X22TKT5ARG3HD2,20,1cdc1fdb1285d1bfa919378bebce3c3bbdc9dfa66914914c4ea8ea33abee25c5,4295221,https://stellar.expert/explorer/testnet/tx/1cdc1fdb1285d1bfa919378bebce3c3bbdc9dfa66914914c4ea8ea33abee25c5
8,"Payer 8 (Student - Chai & Snacks)",GC2SNJUEFUGUHF3UPKN4B7V53X44HLAOA7JE6U7WS7AIMQ3GRLIKKC3N,14,c7c5eb60a34a77a933fbb45c1f8c4dc7a35729a3a64af755d588e92eab3a1a71,4295223,https://stellar.expert/explorer/testnet/tx/c7c5eb60a34a77a933fbb45c1f8c4dc7a35729a3a64af755d588e92eab3a1a71
9,"Payer 9 (Freelancer - Printout Hub)",GAPYIRVF7EUD7EVET5GGIBVIFVDZ7NTMILEQP6VSNOYOCLSMHY3FQYXP,7.5,3f7e440db38e7db7fd188aef656703e788710845988ae9b435acf9e3189d3c20,4295226,https://stellar.expert/explorer/testnet/tx/3f7e440db38e7db7fd188aef656703e788710845988ae9b435acf9e3189d3c20
10,"Payer 10 (Student - Department Event)",GDXMIWMNJGQWB66Y3ZUG2QZZCOTX7CXWHOFECTOLSWNB5IIDR5KMJM6V,18,ea0ce98618ee140a493bc98a7c20ac0312306598da1fb99cd67408521c1a6f41,4295230,https://stellar.expert/explorer/testnet/tx/ea0ce98618ee140a493bc98a7c20ac0312306598da1fb99cd67408521c1a6f41
